Title,Platform,Project,Date,Status,Tags,Summary,Key Decisions,Next Actions,Source Link,Raw File,Priority,Reusable Prompt,Notes
Example conversation,ChatGPT,General,2026-05-17,To Review,"setup,example","Short summary of the conversation","Important decision or takeaway","Follow-up task or next step","https://chatgpt.com/","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/ChatGPT/",Medium,"Prompt worth saving for reuse","Extra notes or context"
Mai Shou AI So Project,ChatGPT,Mai Shou AI So,2026-05-17,To Review,"project,chatgpt,link","ChatGPT project link added for later review and summarization","","Open the project and export or summarize its conversations","https://chatgpt.com/g/g-p-6a00b775e4e4819191aa0e7a79992e5c-mai-shou-ai-so/project","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/ChatGPT/",High,"","User provided project link"
UU Project,ChatGPT,UU,2026-05-17,To Review,"project,chatgpt,link","ChatGPT project link added for later review and summarization","","Open the project and export or summarize its conversations","https://chatgpt.com/g/g-p-697135a0ff0c8191a53d004871416d90-uu/project","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/ChatGPT/",High,"","User provided project link; duplicate links were omitted"
Giftcard AI System Project,ChatGPT,Giftcard AI System,2026-05-17,To Review,"project,chatgpt,link","ChatGPT project link added for later review and summarization","","Open the project and export or summarize its conversations","https://chatgpt.com/g/g-p-69b6e503ef348191ba64b201ee2718db-giftcard-ai-system/project","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/ChatGPT/",High,"","User provided project link"
ZYVA Smart Payment Test Project,ChatGPT,ZYVA Smart Payment Test,2026-05-17,To Review,"project,chatgpt,link","ChatGPT project link added for later review and summarization","","Open the project and export or summarize its conversations","https://chatgpt.com/g/g-p-69c0b8ffb54081918927a1a9f42d5824-zyva-smart-payment-test/project","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/ChatGPT/",High,"","User provided project link"
ZYVA Start Up Project,ChatGPT,ZYVA Start Up,2026-05-17,To Review,"project,chatgpt,link","ChatGPT project link added for later review and summarization","","Open the project and export or summarize its conversations","https://chatgpt.com/g/g-p-69b9b60782848191ad62c6b33567828c-zyva-start-up/project","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/ChatGPT/",High,"","User provided project link"
SMS Bot Profile Project,ChatGPT,SMS Bot Profile,2026-05-17,To Review,"project,chatgpt,link","ChatGPT project link added for later review and summarization","","Open the project and export or summarize its conversations","https://chatgpt.com/g/g-p-69bc740baefc81919696cc9d262c8694-sms-bot-profile/project","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/ChatGPT/",High,"","User provided project link"
OpenClaw Zhu Shou Project,ChatGPT,OpenClaw Zhu Shou,2026-05-17,To Review,"project,chatgpt,link","ChatGPT project link added for later review and summarization","","Open the project and export or summarize its conversations","https://chatgpt.com/g/g-p-69c28bb9762481919df07416bbd297d7-openclawzhu-shou/project","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/ChatGPT/",High,"","User provided project link"
Telegram Chat Export 2026-04-02,Other-AI,Telegram,2025-04-02,To Review,"telegram,chat-export,html,ai-mentions","Telegram HTML chat export copied into the organizer. It is primarily human chat, with some ChatGPT mentions and bot-related content, but it is not an official AI platform export.","","Review for copied prompts, AI links, bot interactions, and reusable decisions","","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/Other-AI/Telegram/",Medium,"","Imported from Downloads/Telegram Desktop/ChatExport_2026-04-02; contains mixed human chat and AI-related mentions"
free-claude-code-main.zip,Claude,Unknown,2026-05-17,Reviewed,"claude,zip,non-chat-archive","ZIP file with Claude in the filename copied into the organizer. Archive contents show a code project with README, PLAN, api, cli, and config folders rather than exported conversation history.","","Keep as reference archive only; do not treat as a conversation export","","/Users/rubykan/Documents/Codex/2026-05-17/openai-project/Raw-Exports/Claude/free-claude-code-main.zip",Low,"","Imported from Downloads/_Organized/Archives_Zip; inspected and confirmed to be a code project archive"
